2020 date,City,State,Dead,Injured,Total,Description
9/7/20,Indianapolis(3),Indiana,1,4,5,An eighteen-year-old was killed and four others injured after a fight broke out during a party in the Butler-Tarkington neighborhood over a broken table.[184]
9/7/20,Aguanga,California,7,0,7,A shooting at a large marijuana grow house left seven people dead.[185]
9/7/20,Chicago(39),Illinois,1,3,4,An eight-year-old girl was killed and three others injured when another vehicle opened fire on them while they were sitting in another car in the Canaryville neighborhood.[186]
9/6/20,Chicago(38),Illinois,0,4,4,Four people were wounded in the South Shore neighborhood in a drive-by shooting. Three adults and a seventeen-year-old were injured.[187]
9/6/20,Commerce(2),Colorado,0,4,4,Four people were wounded at a large house party after a fight broke out in the early morning.[188]
9/6/20,Memphis (7),Tennessee,0,4,4,Two people opened fire in an apartment and wounded three adults and a five-year-old child.[189]
9/6/20,Baltimore(7),Maryland,0,4,4,Responding officers found a wounded man and three other wounded individuals transported themselves to the hospital.[190]
9/6/20,Kansas City(4),Missouri,0,6,6,Six people were wounded in Swope Park where a large crowd had gathered to watch cars do burnouts and donuts.[191]
9/6/20,St. Louis (9),Missouri,1,3,4,One woman was killed and three others injured in the Hamilton Heights neighborhood.[192]
9/6/20,Sparta,Georgia,1,6,7,Responding officers found a man dead and two wounded at an early morning birthday party. Four other wounded were identified at the hospital.[193]
9/6/20,New Iberia,Louisiana,0,5,5,"Five people were wounded at a night club, and separate charges were filed against the club owner for operating during COVID-19 restrictions.[194]"
9/5/20,Houston(10),Texas,0,4,4,"A woman and three men were wounded after a party with multiple motorcycle clubs, had a large fight in the parking lot with multiple shooters.[195]"
9/5/20,Little Rock(2),Arkansas,0,4,4,"A man was found wounded at the River Market district, with witnesses stating the shooter opened fire after pulling a gun from his fanny pack. Three children aged, seventeen, sixteen and twelve-years-old were also wounded.[196]"
9/5/20,Baltimore(6),Maryland,1,3,4,"Two men were discovered wounded by responding officers, one of whom later died at the hospital. Two more wounded were identified after transporting themselves to the hospital.[197]"
9/5/20,Williston,Florida,0,6,6,"Six people were wounded in an early morning shooting at a block party/protest that was organized by a man to protest ""inequitable narratives.""[198]"
9/3/20,Miami (2),Florida,0,4,4,Four men were wounded in a drive-by shooting shortly before midnight.[199]
9/3/20,Philadelphia(20),Pennsylvania,0,6,6,Five men aged eighteen to twenty-six-years-old were found wounded in an east Germantown street shortly before midnight. A sixth man was found wounded in his apartment building from a stray bullet a half-block away.[200]
9/3/20,Little Rock(1),Arkansas,0,4,4,"Two bystanders including a seventeen-year-old were wounded shortly before midnight at an apartment complex. Two additional wounded were discovered later by police, who stated the shooting occurred after the individuals they had met to purchase guns from, turned on them and opened fire.[201]"
